i = 7; circleRadius = 20; xCoordinate = 1215;
i = 8; circleRadius = 20; xCoordinate = 645;
i = 9; circleRadius = 20; xCoordinate = 424;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 891;
i = 1; circleRadius = 20; xCoordinate = 888;
i = 2; circleRadius = 20; xCoordinate = 1409;
i = 3; circleRadius = 20; xCoordinate = 1443;
i = 4; circleRadius = 20; xCoordinate = 408;
i = 5; circleRadius = 20; xCoordinate = 1375;
i = 6; circleRadius = 20; xCoordinate = 681;
i = 7; circleRadius = 20; xCoordinate = 1215;
i = 8; circleRadius = 20; xCoordinate = 644;
i = 9; circleRadius = 20; xCoordinate = 424;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 894;
i = 1; circleRadius = 20; xCoordinate = 888;
i = 2; circleRadius = 20; xCoordinate = 1408;
i = 3; circleRadius = 20; xCoordinate = 1443;
i = 4; circleRadius = 20; xCoordinate = 409;
i = 5; circleRadius = 20; xCoordinate = 1373;
i = 6; circleRadius = 20; xCoordinate = 680;
i = 7; circleRadius = 20; xCoordinate = 1215;
i = 8; circleRadius = 20; xCoordinate = 644;
i = 9; circleRadius = 20; xCoordinate = 424;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 898;
i = 1; circleRadius = 20; xCoordinate = 887;
i = 2; circleRadius = 20; xCoordinate = 1408;
i = 3; circleRadius = 20; xCoordinate = 1442;
i = 4; circleRadius = 20; xCoordinate = 410;
i = 5; circleRadius = 20; xCoordinate = 1372;
i = 6; circleRadius = 20; xCoordinate = 678;
i = 7; circleRadius = 20; xCoordinate = 1214;
i = 8; circleRadius = 20; xCoordinate = 643;
i = 9; circleRadius = 20; xCoordinate = 423;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 903;
i = 1; circleRadius = 20; xCoordinate = 885;
i = 2; circleRadius = 20; xCoordinate = 1408;
i = 3; circleRadius = 20; xCoordinate = 1440;
i = 4; circleRadius = 20; xCoordinate = 412;
i = 5; circleRadius = 20; xCoordinate = 1371;
i = 6; circleRadius = 20; xCoordinate = 675;
i = 7; circleRadius = 20; xCoordinate = 1212;
i = 8; circleRadius = 20; xCoordinate = 642;
i = 9; circleRadius = 20; xCoordinate = 422;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 909;
i = 1; circleRadius = 20; xCoordinate = 884;
i = 2; circleRadius = 20; xCoordinate = 1408;
i = 3; circleRadius = 20; xCoordinate = 1437;
i = 4; circleRadius = 20; xCoordinate = 415;
i = 5; circleRadius = 20; xCoordinate = 1371;
i = 6; circleRadius = 20; xCoordinate = 673;
i = 7; circleRadius = 20; xCoordinate = 1211;
i = 8; circleRadius = 20; xCoordinate = 641;
i = 9; circleRadius = 20; xCoordinate = 422;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 916;
i = 1; circleRadius = 20; xCoordinate = 882;
i = 2; circleRadius = 20; xCoordinate = 1408;
i = 3; circleRadius = 20; xCoordinate = 1433;
i = 4; circleRadius = 20; xCoordinate = 419;
i = 5; circleRadius = 20; xCoordinate = 1372;
i = 6; circleRadius = 20; xCoordinate = 672;
i = 7; circleRadius = 20; xCoordinate = 1209;
i = 8; circleRadius = 20; xCoordinate = 641;
i = 9; circleRadius = 20; xCoordinate = 422;
i = 10; circleRadius = 3; xCoordinate = 1314;
i = 11; circleRadius = 2; xCoordinate = 641;
i = 12; circleRadius = 10; xCoordinate = 1150;
i = 13; circleRadius = 4; xCoordinate = 491;
i = 14; circleRadius = 8; xCoordinate = 897;

i = 0; circleRadius = 20; xCoordinate = 924;
i = 1; circleRadius = 20; xCoordinate = 881;
i = 2; circleRadius = 20; xCoordinate = 1409;
i = 3; circleRadius = 20; xCoordinate = 1430;
i = 4; circleRadius = 20; xCoordinate = 423;
i = 5; circleRadius = 20; xCoordinate = 1373;
i = 6; circleRadius = 20; xCoordinate = 671;
i = 7; circleRadius = 20; xCoordinate = 1207;
i = 8; circleRadius = 20; xCoordinate = 640;
i = 9; circleRadius = 20; xCoordinate = 423;
